,0
0,1158.4927504710452
1,1158.8894205437357
2,1118.46458135901
3,1138.548001871112
4,1145.6543806237514
5,1149.7694885410062
6,1060.1231397525735
7,1102.6969441110602
8,1168.7947120985164
9,1163.5624772236874
10,1118.1114232862283
11,1067.1856093012534
12,1079.8035095597866
13,1057.1477056691276
14,1045.8319191243204
15,1022.0864724398597
16,1060.6796606573907
17,992.0014901531611
18,980.9230444510642
19,1023.070594866852
20,1044.3042269074374
21,1089.9924134121686
22,1106.0003403670476
23,1143.2360243067976
24,1173.9792427985733
25,1186.1848841885821
26,1140.6410367101832
27,1129.8646566489292
28,1034.672610100581
29,984.3818970690102
30,951.8244932658739
31,887.1419385076323
32,897.3306578530189
33,880.8414440468537
34,832.2988928189982
35,852.0811606297649
36,810.6273388683118
37,867.6390965850231
38,915.7094377017991
39,928.3497441987975
40,905.3392110896416
41,855.8549211675984
42,741.3120812217808
43,765.3368002117486
44,744.3205899133702
45,840.3963405595246
46,908.2362590352132
47,889.6125151246399
48,855.7264268252409
49,846.8683674911676
50,828.6490028732859
51,832.4496124868532
52,841.0002804297845
53,844.46456862901
54,805.1446829300043
55,817.0560390637193
56,796.5208456426019
57,798.4548877464601
58,865.8538869657741
59,838.2419496099308
60,821.9514134614432
61,835.1616277203791
62,837.7134266200717
63,864.7792105583266
64,900.2744361884554
65,900.4828253558455
66,880.7799286831774
67,915.2436876969451
68,876.7384800221631
69,824.0925489762622
70,773.5191028665489
71,792.4543670585372
72,797.1084704057188
73,782.9655486043373
74,787.125525662362
75,856.4334764559794
76,857.7519929869542
77,863.7402809352952
78,856.1441244014229
79,865.3990849630765
80,834.4011778013133
81,809.9162884494639
82,821.8239004671752
83,880.4473236370501
84,890.2472222723627
85,914.9098585721134
86,884.4196005370949
87,894.7156593816808
88,918.1349044143738
89,892.1695991799045
90,926.1885704811415
91,921.2222317579632
92,915.3168880598716
93,984.4802600227812
94,962.0390463422785
95,902.4343970159165
96,904.4349206129667
97,857.2189236735471
98,817.8829690756594
99,798.5830630514
